0.000000, 0.000000e+00,0.000000, 1.384250e+01,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 2.000000e+01,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 1.000000e+05,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 0.000000e+00,0.000000, 2.485130e+01,0.000000, 2.167165e+02,0.000000, 0.000000e+00,0.000000, 1.000000e-01,0.000000, 8.720530e+00,0.000000, 0.000000e+00,0.000000, -0.000000e+00,0.000000, 0.000000e+00,0.000000, 1.738135e+01,0.000000, 0.000000e+00,0.000000, 1.738135e+01,0.000000, 8.720534e+00,0.000000, 6.033066e-03,0.000000, 0.000000e+00,0.000000, 6.033066e-03,0.000000, 7.575427e-03,0.000000, 0.000000e+00,0.000000, 7.575427e-03,0.000000, 8.720534e+00,0.000000, 0.000000e+00,0.000000, 1.000000e+01,0.000000, 0.000000e+00,0.000000, 5.000000e-01,
0.010000, 1.235012e-02,0.010000, 1.418112e+01,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 2.470025e-01,0.010000, 2.718595e-04,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 5.437190e-03,0.010000, 1.064530e-01,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 2.129062e+00,0.010000, 2.000000e+01,0.010000, 0.000000e+00,0.010000, 1.422248e-08,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 1.422251e-03,0.010000, 3.074895e-16,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 3.074900e-11,0.010000, 1.140253e-07,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 1.140255e-02,0.010000, 1.000002e+05,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 1.698578e+01,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 2.590528e+01,0.010000, 2.259078e+02,0.010000, 1.698747e+00,0.010000, 9.999992e-02,0.010000, 8.720530e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 0.000000e+00,0.010000, 1.481251e+02,0.010000, 0.000000e+00,0.010000, 1.481251e+02,0.010000, 8.720534e+00,0.010000, 1.076996e-01,0.010000, 0.000000e+00,0.010000, 1.076996e-01,0.010000, 9.283274e-01,0.010000, 0.000000e+00,0.010000, 9.283274e-01,0.010000, 8.720534e+00,0.010000, 0.000000e+00,0.010000, 1.000000e+01,0.010000, 0.000000e+00,0.010000, 5.000000e-01,
0.020000, 2.147841e-02,0.020000, 1.451974e+01,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 4.295685e-01,0.020000, 1.442265e-03,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 2.884529e-02,0.020000, 2.217688e-01,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 4.435378e+00,0.020000, 2.000000e+01,0.020000, 0.000000e+00,0.020000, 3.769362e-08,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 3.769372e-03,0.020000, 4.073680e-15,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 4.073692e-10,0.020000, 3.555452e-07,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 3.555463e-02,0.020000, 1.000003e+05,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 2.136409e+01,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 2.695926e+01,0.020000, 2.350990e+02,0.020000, 2.136620e+00,0.020000, 9.999987e-02,0.020000, 8.720530e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 0.000000e+00,0.020000, 1.863063e+02,0.020000, 0.000000e+00,0.020000, 1.863063e+02,0.020000, 8.720534e+00,0.020000, 1.873032e-01,0.020000, 0.000000e+00,0.020000, 1.873032e-01,0.020000, 1.933942e+00,0.020000, 0.000000e+00,0.020000, 1.933942e+00,0.020000, 8.720534e+00,0.020000, 0.000000e+00,0.020000, 1.000000e+01,0.020000, 0.000000e+00,0.020000, 5.000000e-01,
0.030000, 3.120508e-02,0.030000, 1.485836e+01,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 6.241020e-01,0.030000, 4.384035e-03,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 8.768070e-02,0.030000, 3.559153e-01,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 7.118310e+00,0.030000, 2.000000e+01,0.030000, 0.000000e+00,0.030000, 7.449917e-08,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 7.449946e-03,0.030000, 2.225434e-14,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 2.225443e-09,0.030000, 7.768261e-07,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 7.768292e-02,0.030000, 1.000004e+05,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 2.388749e+01,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 2.801324e+01,0.030000, 2.442903e+02,0.030000, 2.388984e+00,0.030000, 9.999981e-02,0.030000, 8.720530e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 0.000000e+00,0.030000, 2.083117e+02,0.030000, 0.000000e+00,0.030000, 2.083117e+02,0.030000, 8.720534e+00,0.030000, 2.721250e-01,0.030000, 0.000000e+00,0.030000, 2.721250e-01,0.030000, 3.103772e+00,0.030000, 0.000000e+00,0.030000, 3.103772e+00,0.030000, 8.720534e+00,0.030000, 0.000000e+00,0.030000, 1.000000e+01,0.030000, 0.000000e+00,0.030000, 5.000000e-01,
0.040000, 4.112043e-02,0.040000, 1.519698e+01,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 8.224090e-01,0.040000, 9.859485e-03,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 1.971897e-01,0.040000, 4.959713e-01,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 9.919432e+00,0.040000, 2.000000e+01,0.040000, 0.000000e+00,0.040000, 1.243299e-07,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 1.243306e-02,0.040000, 7.474622e-14,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 7.474661e-09,0.040000, 1.382138e-06,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 1.382145e-01,0.040000, 1.000005e+05,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 2.531334e+01,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 2.906722e+01,0.040000, 2.534816e+02,0.040000, 2.531581e+00,0.040000, 9.999976e-02,0.040000, 8.720530e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 0.000000e+00,0.040000, 2.207459e+02,0.040000, 0.000000e+00,0.040000, 2.207459e+02,0.040000, 8.720534e+00,0.040000, 3.585921e-01,0.040000, 0.000000e+00,0.040000, 3.585921e-01,0.040000, 4.325135e+00,0.040000, 0.000000e+00,0.040000, 4.325135e+00,0.040000, 8.720534e+00,0.040000, 0.000000e+00,0.040000, 1.000000e+01,0.040000, 0.000000e+00,0.040000, 5.000000e-01,
0.050000, 5.121373e-02,0.050000, 1.548312e+01,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 1.024275e+00,0.050000, 1.997250e-02,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 3.994501e-01,0.050000, 6.374556e-01,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 1.274912e+01,0.050000, 2.000000e+01,0.050000, 0.000000e+00,0.050000, 1.911992e-07,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 1.912004e-02,0.050000, 2.563280e-13,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 2.563298e-08,0.050000, 2.226022e-06,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 2.226037e-01,0.050000, 1.000006e+05,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 2.628074e+01,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 2.997670e+01,0.050000, 2.614127e+02,0.050000, 2.628328e+00,0.050000, 9.999970e-02,0.050000, 8.720530e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 0.000000e+00,0.050000, 2.291821e+02,0.050000, 0.000000e+00,0.050000, 2.291821e+02,0.050000, 8.720534e+00,0.050000, 4.466111e-01,0.050000, 0.000000e+00,0.050000, 4.466111e-01,0.050000, 5.558953e+00,0.050000, 0.000000e+00,0.050000, 5.558953e+00,0.050000, 8.720534e+00,0.050000, 0.000000e+00,0.050000, 1.000000e+01,0.050000, 0.000000e+00,0.050000, 5.000000e-01,
0.060000, 6.135490e-02,0.060000, 1.575536e+01,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 1.227099e+00,0.060000, 3.152369e-02,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 6.304737e-01,0.060000, 7.791447e-01,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 1.558290e+01,0.060000, 2.000000e+01,0.060000, 0.000000e+00,0.060000, 2.629978e-07,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 2.629997e-02,0.060000, 4.896527e-13,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 4.896564e-08,0.060000, 3.138308e-06,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 3.138331e-01,0.060000, 1.000007e+05,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 2.713746e+01,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 3.084790e+01,0.060000, 2.690100e+02,0.060000, 2.714007e+00,0.060000, 9.999964e-02,0.060000, 8.720530e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 0.000000e+00,0.060000, 2.366531e+02,0.060000, 0.000000e+00,0.060000, 2.366531e+02,0.060000, 8.720534e+00,0.060000, 5.350475e-01,0.060000, 0.000000e+00,0.060000, 5.350475e-01,0.060000, 6.794558e+00,0.060000, 0.000000e+00,0.060000, 6.794558e+00,0.060000, 8.720534e+00,0.060000, 0.000000e+00,0.060000, 1.000000e+01,0.060000, 0.000000e+00,0.060000, 5.000000e-01,
0.070000, 7.169216e-02,0.070000, 1.597512e+01,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 1.433844e+00,0.070000, 5.288827e-02,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 1.057765e+00,0.070000, 9.179743e-01,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 1.835950e+01,0.070000, 2.000000e+01,0.070000, 0.000000e+00,0.070000, 3.620900e-07,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 3.620932e-02,0.070000, 1.285561e-12,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 1.285573e-07,0.070000, 4.417482e-06,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 4.417522e-01,0.070000, 1.000008e+05,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 2.780264e+01,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 3.157460e+01,0.070000, 2.753472e+02,0.070000, 2.780530e+00,0.070000, 9.999958e-02,0.070000, 8.720530e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 0.000000e+00,0.070000, 2.424539e+02,0.070000, 0.000000e+00,0.070000, 2.424539e+02,0.070000, 8.720534e+00,0.070000, 6.251940e-01,0.070000, 0.000000e+00,0.070000, 6.251940e-01,0.070000, 8.005226e+00,0.070000, 0.000000e+00,0.070000, 8.005226e+00,0.070000, 8.720534e+00,0.070000, 0.000000e+00,0.070000, 1.000000e+01,0.070000, 0.000000e+00,0.070000, 5.000000e-01,
0.080000, 8.202942e-02,0.080000, 1.619488e+01,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 1.640589e+00,0.080000, 7.425286e-02,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 1.485057e+00,0.080000, 1.056804e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 2.113609e+01,0.080000, 2.000000e+01,0.080000, 0.000000e+00,0.080000, 4.611823e-07,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 4.611868e-02,0.080000, 2.081469e-12,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 2.081490e-07,0.080000, 5.696657e-06,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 5.696713e-01,0.080000, 1.000010e+05,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 2.846782e+01,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 3.230130e+01,0.080000, 2.816845e+02,0.080000, 2.847053e+00,0.080000, 9.999953e-02,0.080000, 8.720530e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 0.000000e+00,0.080000, 2.482546e+02,0.080000, 0.000000e+00,0.080000, 2.482546e+02,0.080000, 8.720534e+00,0.080000, 7.153404e-01,0.080000, 0.000000e+00,0.080000, 7.153404e-01,0.080000, 9.215894e+00,0.080000, 0.000000e+00,0.080000, 9.215894e+00,0.080000, 8.720534e+00,0.080000, 0.000000e+00,0.080000, 1.000000e+01,0.080000, 0.000000e+00,0.080000, 5.000000e-01,
0.090000, 9.070661e-02,0.090000, 1.635547e+01,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 1.814133e+00,0.090000, 9.842767e-02,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 1.968553e+00,0.090000, 1.169705e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 2.339411e+01,0.090000, 2.000000e+01,0.090000, 0.000000e+00,0.090000, 5.581999e-07,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 5.582059e-02,0.090000, 3.405845e-12,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 3.405884e-07,0.090000, 6.946630e-06,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 6.946706e-01,0.090000, 1.000011e+05,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 2.901911e+01,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 3.283323e+01,0.090000, 2.863231e+02,0.090000, 2.902186e+00,0.090000, 9.999948e-02,0.090000, 8.720530e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 0.000000e+00,0.090000, 2.530621e+02,0.090000, 0.000000e+00,0.090000, 2.530621e+02,0.090000, 8.720534e+00,0.090000, 7.910101e-01,0.090000, 0.000000e+00,0.090000, 7.910101e-01,0.090000, 1.020045e+01,0.090000, 0.000000e+00,0.090000, 1.020045e+01,0.090000, 8.720534e+00,0.090000, 0.000000e+00,0.090000, 1.000000e+01,0.090000, 0.000000e+00,0.090000, 5.000000e-01,
